timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime,Connect
1526461768882,225,GET Request,200,OK,Thread Group 1-60,text,true,884,392,100,100,http://jsonplaceholder.typicode.com/posts/84,225,1,0,0,75
1526461768892,219,GET Request,200,OK,Thread Group 1-71,text,true,887,392,100,100,http://jsonplaceholder.typicode.com/posts/77,219,1,0,0,66
1526461768995,117,GET Request,200,OK,Thread Group 1-94,text,true,856,392,100,100,http://jsonplaceholder.typicode.com/posts/33,116,1,0,0,48
1526461769001,125,GET Request,200,OK,Thread Group 1-56,text,true,864,392,100,100,http://jsonplaceholder.typicode.com/posts/71,125,1,0,0,59
1526461769004,125,GET Request,200,OK,Thread Group 1-45,text,true,859,391,100,100,http://jsonplaceholder.typicode.com/posts/9,125,1,0,0,58
1526461769032,122,GET Request,200,OK,Thread Group 1-24,text,true,881,392,100,100,http://jsonplaceholder.typicode.com/posts/37,122,1,0,0,62
1526461769032,125,GET Request,200,OK,Thread Group 1-39,text,true,885,392,100,100,http://jsonplaceholder.typicode.com/posts/65,125,1,0,0,64
1526461769034,131,GET Request,200,OK,Thread Group 1-26,text,true,884,392,100,100,http://jsonplaceholder.typicode.com/posts/72,131,1,0,0,70
1526461769055,124,GET Request,200,OK,Thread Group 1-54,text,true,908,392,100,100,http://jsonplaceholder.typicode.com/posts/36,124,1,0,0,61
1526461769073,117,GET Request,200,OK,Thread Group 1-73,text,true,879,392,100,100,http://jsonplaceholder.typicode.com/posts/26,117,1,0,0,56
1526461769093,141,GET Request,200,OK,Thread Group 1-35,text,true,913,392,100,100,http://jsonplaceholder.typicode.com/posts/43,141,1,0,0,56
1526461769068,168,GET Request,200,OK,Thread Group 1-22,text,true,900,392,100,100,http://jsonplaceholder.typicode.com/posts/59,168,1,0,0,69
