timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime,Connect
1526462088322,168,GET Request,200,OK,Thread Group 1-1,text,true,886,392,5,5,http://jsonplaceholder.typicode.com/posts/32,168,1,0,0,80
1526462088829,109,GET Request,200,OK,Thread Group 1-2,text,true,899,392,6,6,http://jsonplaceholder.typicode.com/posts/38,109,1,0,0,49
1526462089322,105,GET Request,200,OK,Thread Group 1-3,text,true,873,392,7,7,http://jsonplaceholder.typicode.com/posts/41,105,1,0,0,50
1526462089822,108,GET Request,200,OK,Thread Group 1-4,text,true,877,392,8,8,http://jsonplaceholder.typicode.com/posts/73,108,1,0,0,48
1526462090324,124,GET Request,200,OK,Thread Group 1-5,text,true,888,392,9,9,http://jsonplaceholder.typicode.com/posts/35,124,1,0,0,50
1526462090492,116,GET Request,200,OK,Thread Group 1-1,text,true,862,392,9,9,http://jsonplaceholder.typicode.com/posts/45,116,1,0,0,49
1526462090825,138,GET Request,200,OK,Thread Group 1-6,text,true,875,392,10,10,http://jsonplaceholder.typicode.com/posts/53,138,1,0,0,49
1526462090941,124,GET Request,200,OK,Thread Group 1-2,text,true,894,392,10,10,http://jsonplaceholder.typicode.com/posts/85,124,1,0,0,51
1526462091325,107,GET Request,200,OK,Thread Group 1-7,text,true,889,391,11,11,http://jsonplaceholder.typicode.com/posts/1,107,1,0,0,50
1526462091428,105,GET Request,200,OK,Thread Group 1-3,text,true,854,392,11,11,http://jsonplaceholder.typicode.com/posts/98,105,1,0,0,49
1526462091823,107,GET Request,200,OK,Thread Group 1-8,text,true,869,392,12,12,http://jsonplaceholder.typicode.com/posts/62,107,1,0,0,49
1526462091931,125,GET Request,200,OK,Thread Group 1-4,text,true,869,392,12,12,http://jsonplaceholder.typicode.com/posts/15,124,1,0,0,50
1526462092323,109,GET Request,200,OK,Thread Group 1-9,text,true,856,392,13,13,http://jsonplaceholder.typicode.com/posts/33,109,1,0,0,48
1526462092448,104,GET Request,200,OK,Thread Group 1-5,text,true,887,392,13,13,http://jsonplaceholder.typicode.com/posts/77,104,1,0,0,50
1526462092608,112,GET Request,200,OK,Thread Group 1-1,text,true,894,392,13,13,http://jsonplaceholder.typicode.com/posts/85,112,1,0,0,50
1526462092823,114,GET Request,200,OK,Thread Group 1-10,text,true,869,392,14,14,http://jsonplaceholder.typicode.com/posts/62,114,1,0,0,49
